ZIP,LAT,LNG,City,State ,County
601,18.180555,-66.749961,Adjuntas,PR,Adjuntas
602,18.361945,-67.175597,Aguada,PR,Aguada
603,18.455183,-67.119887,Aguadilla,PR,Aguadilla
606,18.158345,-66.932911,Maricao,PR,Maricao
610,18.295366,-67.125135,Anasco,PR,Anasco
612,18.402253,-66.711397,Arecibo,PR,Arecibo
616,18.420412,-66.671979,Bajadero,PR,Arecibo
617,18.445147,-66.559696,Barceloneta,PR,Barceloneta
622,17.991245,-67.153993,Boqueron,PR,Cabo Rojo
623,18.083361,-67.153897,Cabo Rojo,PR,Cabo Rojo
624,18.064919,-66.716683,Penuelas,PR,Penuelas
627,18.4126,-66.863926,Camuy,PR,Camuy
631,18.190607,-66.832041,Castaner,PR,Lares
637,18.076713,-66.947389,Sabana Grande,PR,Sabana Grande
638,18.295913,-66.515588,Ciales,PR,Ciales
641,18.263085,-66.712985,Utuado,PR,Utuado
646,18.43315,-66.285875,Dorado,PR,Dorado
647,17.963613,-66.947127,Ensenada,PR,Guanica
650,18.349416,-66.578079,Florida,PR,Florida
652,18.448452,-66.594127,Garrochales,PR,Arecibo
653,17.985033,-66.886536,Guanica,PR,Guanica
656,18.053539,-66.792931,Guayanilla,PR,Guayanilla
659,18.407226,-66.808999,Hatillo,PR,Hatillo
660,18.134695,-67.116199,Hormigueros,PR,Hormigueros
662,18.46832,-67.015781,Isabela,PR,Isabela
664,18.21033,-66.591616,Jayuya,PR,Jayuya
667,18.003422,-67.03581,Lajas,PR,Lajas
669,18.277102,-66.869645,Lares,PR,Lares
670,18.240187,-66.988776,Las Marias,PR,Las Marias
674,18.422908,-66.489337,Manati,PR,Manati
676,18.377637,-67.079574,Moca,PR,Moca
677,18.332568,-67.227022,Rincon,PR,Rincon
678,18.434099,-66.927384,Quebradillas,PR,Quebradillas
680,18.182055,-67.132502,Mayaguez,PR,Mayaguez
682,18.221464,-67.156039,Mayaguez,PR,Mayaguez
683,18.1078,-67.037263,San German,PR,San German
685,18.332929,-66.959689,San Sebastian,PR,San Sebastian
687,18.319026,-66.420557,Morovis,PR,Morovis
688,18.382264,-66.626438,Sabana Hoyos,PR,Arecibo
690,18.49551,-67.098671,San Antonio,PR,Aguadilla
692,18.410188,-66.336556,Vega Alta,PR,Vega Alta
693,18.423,-66.397232,Vega Baja,PR,Vega Baja
694,18.48237,-66.391079,Vega Baja,PR,Vega Baja
698,18.064848,-66.856319,Yauco,PR,Yauco
703,18.248401,-66.130662,Aguas Buenas,PR,Aguas Buenas
704,17.96577,-66.219555,Aguirre,PR,Guayama
705,18.128961,-66.266683,Aibonito,PR,Aibonito
707,18.014055,-65.920751,Maunabo,PR,Maunabo
714,18.003025,-66.046237,Arroyo,PR,Arroyo
715,18.011233,-66.560065,Mercedita,PR,Ponce
716,17.99204,-66.605856,Ponce,PR,Ponce
717,18.003222,-66.614037,Ponce,PR,Ponce
718,18.231988,-65.759623,Naguabo,PR,Naguabo
